proxy,status
50.173.140.147:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DB590>, 'Connection to 50.173.140.147 timed out. (connect timeout=5)'))"
50.207.199.82:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DFC50>, 'Connection to 50.207.199.82 timed out. (connect timeout=5)'))"
50.174.7.159:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DF810>, 'Connection to 50.174.7.159 timed out. (connect timeout=5)'))"
50.228.141.99:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8844B690>, 'Connection to 50.228.141.99 timed out. (connect timeout=5)'))"
0.0.0.0:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001CF88435D50>: Failed to establish a new connection: [WinError 10049] La dirección solicitada no es válida en este contexto')))"
50.173.140.145:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8845F510>, 'Connection to 50.173.140.145 timed out. (connect timeout=5)'))"
50.237.207.186:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DA490>, 'Connection to 50.237.207.186 timed out. (connect timeout=5)'))"
50.174.145.15:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88418150>, 'Connection to 50.174.145.15 timed out. (connect timeout=5)'))"
50.218.57.65:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88419F50>, 'Connection to 50.218.57.65 timed out. (connect timeout=5)'))"
133.18.234.13:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 503 Service Temporarily Unavailable')))"
212.107.31.118:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))"
130.185.104.62:4128,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001CF885DAA90>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')))"
50.171.32.224:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF886032D0>, 'Connection to 50.171.32.224 timed out. (connect timeout=5)'))"
50.218.57.64:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885793D0>, 'Connection to 50.218.57.64 timed out. (connect timeout=5)'))"
50.228.141.100:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8844BC50>, 'Connection to 50.228.141.100 timed out. (connect timeout=5)'))"
50.228.141.98:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88423050>, 'Connection to 50.228.141.98 timed out. (connect timeout=5)'))"
50.218.57.71:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885F6D50>, 'Connection to 50.218.57.71 timed out. (connect timeout=5)'))"
50.174.41.66:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88423250>, 'Connection to 50.174.41.66 timed out. (connect timeout=5)'))"
107.1.93.220:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885F5F50>, 'Connection to 107.1.93.220 timed out. (connect timeout=5)'))"
172.108.208.74:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF884203D0>, 'Connection to 172.108.208.74 timed out. (connect timeout=5)'))"
50.227.121.36:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885F3DD0>, 'Connection to 50.227.121.36 timed out. (connect timeout=5)'))"
50.222.245.40:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF884205D0>, 'Connection to 50.222.245.40 timed out. (connect timeout=5)'))"
50.171.32.226:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88627050>, 'Connection to 50.171.32.226 timed out. (connect timeout=5)'))"
189.202.188.149:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88418950>, 'Connection to 189.202.188.149 timed out. (connect timeout=5)'))"
50.168.210.238:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885F3D10>, 'Connection to 50.168.210.238 timed out. (connect timeout=5)'))"
50.174.7.153:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88406510>, 'Connection to 50.174.7.153 timed out. (connect timeout=5)'))"
50.217.226.44:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DA8D0>, 'Connection to 50.217.226.44 timed out. (connect timeout=5)'))"
127.0.0.7:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001CF88458610>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')))"
162.223.89.84:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 503 Service Temporarily Unavailable')))"
50.169.62.107:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88450FD0>, 'Connection to 50.169.62.107 timed out. (connect timeout=5)'))"
50.170.90.30:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88579ED0>, 'Connection to 50.170.90.30 timed out. (connect timeout=5)'))"
50.168.72.117:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885F1E50>, 'Connection to 50.168.72.117 timed out. (connect timeout=5)'))"
50.218.57.69:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88458310>, 'Connection to 50.218.57.69 timed out. (connect timeout=5)'))"
50.207.199.83:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885F3CD0>, 'Connection to 50.207.199.83 timed out. (connect timeout=5)'))"
